trade_id,signal_type,is_long,is_trend,signal_bar,signal_ts,entry_bar,entry_ts,entry_price,sl,tp,stop_dist,atr_at_entry,exit_bar,exit_ts,exit_price,exit_reason,trail_stage,bars_held,real_pl
15,Trend Long,True,True,704,1721059200000,705,1721061000000,63222.87,63015.650889328055,64051.74644268778,207.2191106719443,345.3651844532405,706,1721062800000,63411.77,SL,1,1,157.28856499999418
16,Trend Long,True,True,716,1721080800000,717,1721082600000,64186.94,63949.33148948191,65137.37404207235,237.608510518087,396.0141841968117,718,1721084400000,64343.6,SL,2,1,124.56652999999622
17,Trend Long,True,True,742,1721127600000,743,1721129400000,63711.71,63445.04220504805,64778.38117980781,266.6677949519526,444.446324919921,744,1721131200000,63746.11,SL,1,1,2.5441450000014534
18,Trend Long,True,True,750,1721142000000,751,1721143800000,64504.0,64198.28830135231,65726.84679459076,305.71169864769087,509.5194977461515,752,1721145600000,64878.24,SL,1,1,341.98799999999795
19,Trend Long,True,True,758,1721156400000,759,1721158200000,65107.91,64810.50546546494,66297.52813814023,297.40453453505756,495.67422422509594,759,1721158200000,64810.50546546494,SL,0,0,-329.9584895350605
20,Trend Long,True,True,766,1721170800000,767,1721172600000,65227.9,64948.37167654255,66346.0132938298,279.52832345745185,465.8805390957531,768,1721174400000,65044.0,SL,0,1,-216.51395000000144
21,Trend Long,True,True,769,1721176200000,770,1721178000000,65505.41,65233.83718781486,66591.70124874056,271.5728121851392,452.6213536418987,771,1721179800000,65918.9,SL,1,1,380.7372949999907
22,Range Long,True,False,846,1721314800000,847,1721316600000,63754.51,63593.430382040286,64157.2090448993,161.07961795971656,322.1592359194331,847,1721316600000,63593.430382040286,SL,0,0,-192.9568729597164
23,Range Short,False,False,892,1721397600000,893,1721399400000,65555.3,65754.45180399998,65057.42049000007,199.15180399997257,398.30360799994514,893,1721399400000,65754.45180399998,SL,0,0,-231.92945399997916
24,Trend Long,True,True,902,1721415600000,903,1721417400000,67044.01,66793.45490768715,68046.23036925135,250.55509231284043,417.59182052140073,904,1721419200000,67157.25,SL,1,1,79.71799500000523
25,Trend Short,False,True,1154,1721869200000,1155,1721871000000,64418.81,64661.988997685425,63446.094009258304,243.17899768542426,405.29832947570713,1156,1721872800000,64477.99,SL,1,1,-91.3894050000003
26,Trend Short,False,True,1175,1721907000000,1176,1721908800000,64096.01,64271.42330408113,63394.35678367548,175.4133040811302,292.3555068018837,1176,1721908800000,64271.42330408113,SL,0,0,-207.46130908112843
27,Trend Short,False,True,1189,1721932200000,1190,1721934000000,64568.0,64800.06629858075,63639.734805676984,232.0662985807531,386.7771643012552,1190,1721934000000,64800.06629858075,SL,0,0,-264.3502985807503
28,Trend Long,True,True,1218,1721984400000,1219,1721986200000,67304.0,67129.99363292255,68000.02546830982,174.00636707745502,290.0106117957584,1220,1721988000000,67296.01,SL,0,1,-41.64200000000524
29,Trend Long,True,True,1227,1722000600000,1228,1722002400000,67887.88,67716.73468718176,68572.46125127297,171.1453128182409,285.2421880304015,1228,1722002400000,67716.73468718176,SL,0,0,-205.08925281824747
30,Trend Long,True,True,1230,1722006000000,1231,1722007800000,67654.01,67449.04049771804,68473.8880091278,204.96950228195158,341.615837136586,1233,1722011400000,67449.04049771804,SL,0,2,-238.79650728195054
31,Trend Long,True,True,1261,1722061800000,1262,1722063600000,68092.89,67973.61159537181,68570.00361851275,119.27840462819015,198.79734104698358,1263,1722065400000,68255.63053179061,SL,1,1,128.69408679060865
32,Trend Long,True,True,1266,1722070800000,1267,1722072600000,68154.01,68031.9148789388,68642.39048424477,122.09512106119158,203.4918684353193,1268,1722074400000,68217.2,SL,0,1,29.11299500000233
33,Trend Long,True,True,1274,1722085200000,1275,1722087000000,68832.0,68707.68508870315,69329.2596451874,124.3149112968489,207.1915188280815,1275,1722087000000,69329.2596451874,TP,0,0,462.84364518739784
34,Trend Long,True,True,1321,1722169800000,1322,1722171600000,68000.01,67833.18032053395,68667.32871786416,166.8296794660411,278.0494657767352,1324,1722175200000,67833.18032053395,SL,0,2,-200.82968446604184
35,Range Short,False,False,1344,1722211200000,1345,1722213000000,68844.0,68973.71940737583,68519.70148156043,129.71940737582582,259.43881475165165,1346,1722214800000,68714.01,SL,2,1,95.56800000000524
36,Trend Long,True,True,1349,1722220200000,1350,1722222000000,69558.99,69370.72256410024,70312.05974359903,188.26743589975734,313.7790598329289,1350,1722222000000,69370.72256410024,SL,0,0,-223.04693089976104
37,Trend Long,True,True,1354,1722229200000,1355,1722231000000,69544.79,69368.13203908801,70251.42184364794,176.6579609119863,294.4299348533105,1356,1722232800000,69662.07,SL,1,1,82.5076050000134
38,Trend Short,False,True,1416,1722340800000,1417,1722342600000,66265.86,66437.08026248314,65580.97895006744,171.2202624831402,285.367104138567,1417,1722342600000,66437.08026248314,SL,0,0,-204.35319248314067
39,Trend Short,False,True,1419,1722346200000,1420,1722348000000,66382.0,66577.11756365724,65601.52974537105,195.11756365723707,325.1959394287285,1421,1722349800000,66132.89,SL,2,1,215.91900000000058
40,Trend Short,False,True,1426,1722358800000,1427,1722360600000,65876.0,66094.53273421442,65001.86906314232,218.53273421441972,364.22122369069956,1428,1722362400000,65868.01,SL,0,1,-24.947999999994764
41,Trend Short,False,True,1448,1722398400000,1449,1722400200000,65818.36,65988.14424091853,65139.2230363259,169.7842409185242,282.973734864207,1450,1722402000000,65804.0,SL,1,1,-18.549179999999417
