timestamp,open,high,low,close,volume
1785628800000,62823.65,62979.99,62823.64,62883.7,182.29657
1785630600000,62883.69,62914.71,62806.58,62833.99,214.97767
1785632400000,62834.0,63088.0,62834.0,62984.0,153.85375
1785634200000,62984.0,63020.87,62975.3,62981.87,61.92319
1785636000000,62981.87,63547.7,62958.54,63405.47,739.29739
1785637800000,63405.47,63484.0,63333.99,63451.58,329.12167
1785639600000,63451.58,63550.0,63380.0,63436.88,253.04897
1785641400000,63436.88,63515.56,63435.38,63461.95,135.50565
1785643200000,63461.95,63558.34,63461.95,63546.0,126.85746
1785645000000,63546.01,63612.0,63523.34,63590.0,175.51371
1785646800000,63590.0,63634.0,63456.96,63494.83,135.17973
1785648600000,63494.83,63494.83,63415.26,63453.27,126.13589
1785650400000,63453.27,63498.0,63435.99,63497.99,72.90701
1785652200000,63497.99,63498.15,63465.04,63482.49,87.49184
1785654000000,63482.49,63493.97,63480.0,63493.83,143.07913
1785655800000,63493.83,63544.51,63483.76,63506.24,269.03345
1785657600000,63506.23,63530.0,63386.72,63390.95,350.85789
1785659400000,63390.96,63390.96,63210.0,63219.99,167.43701
